course,type/info,day+time,location,enrollment,Instructor
APSC&nbsp; 103 - 200&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Th 11:30 - 13:30,TBA,3,Staff

APSC&nbsp; 103 - 201&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Th 11:30 - 13:30,TBA,1,Staff

APSC&nbsp; 103 - 202&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Th 11:30 - 13:30,TBA,0,Staff

APSC&nbsp; 103 - 203&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Tu 11:30 - 13:30,TBA,0,Staff

APSC&nbsp; 103 - 204&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Tu 11:30 - 13:30,TBA,4,Staff

APSC&nbsp; 103 - 205&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Tu 11:30 - 13:30,TBA,1,Staff

APSC&nbsp; 103 - 206&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,We 12:30 - 14:30,TBA,0,Staff

APSC&nbsp; 103 - 207&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,We 12:30 - 14:30,TBA,0,Staff

APSC&nbsp; 103 - 208&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,We 12:30 - 14:30,TBA,0,Staff

APSC&nbsp; 103 - 209&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Tu 11:30 - 13:30,TBA,0,Staff

APSC&nbsp; 103 - 219&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,We 12:30 - 14:30,TBA,0,Staff

APSC&nbsp; 103 - 800&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Lecture,TBA,TBA,26,"Blight,Stephen"

APSC&nbsp; 103 - 801&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Studio,Th 18:30 - 21:30,BEAMISH-MUNRO RM313B,26,Staff

BIOL&nbsp; 103 - 001&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Lecture,Mo 10:30 - 11:30,DUNCAN MCARTHUR RM B101,486,"Eckert,Christopher G,<br>
Moyes,Christopher D"

BIOL&nbsp; 103 - 002&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Lecture,Mo 13:30 - 14:30,BIOSCI 1101,413,"Eckert,Christopher G,<br>
Moyes,Christopher D"

BIOL&nbsp; 103 - 003&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Lecture,Mo 16:30 - 17:30,BIOSCI 1101,208,"Eckert,Christopher G,<br>
Moyes,Christopher D"

BIOL&nbsp; 103 - 004&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 08:30 - 10:00,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 005&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 08:30 - 10:00,BIOSCI RM2320,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 006&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 08:30 - 10:00,BIOSCI RM2325,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 007&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 08:30 - 10:00,BIOSCI RM2319,18,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 008&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 10:00 - 11:30,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 009&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 10:00 - 11:30,BIOSCI RM2320,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 010&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 10:00 - 11:30,BIOSCI RM2325,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 011&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 10:00 - 11:30,BIOSCI RM2319,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 012&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 08:30 - 10:00,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 013&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 08:30 - 10:00,BIOSCI RM2320,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 014&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 08:30 - 10:00,BIOSCI RM2325,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 015&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 08:30 - 10:00,BIOSCI RM2319,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 016&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 10:00 - 11:30,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

